Java HotSpot(TM) 64-Bit Server VM (25.144-b01) for linux-amd64 JRE (1.8.0_144-b01), built on Jul 21 2017 21:57:33 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 15391936k(5210848k free), swap 10485756k(10485756k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-28T23:05:31.164+0800: 0.376: [Full GC (Ergonomics) [PSYoungGen: 14799K->13897K(29184K)] [ParOldGen: 86980K->86980K(87552K)] 101780K->100878K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0039016 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:05:31.169+0800: 0.381: [Full GC (Ergonomics) [PSYoungGen: 14825K->13285K(29184K)] [ParOldGen: 86980K->87177K(87552K)] 101806K->100462K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0135305 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-10-28T23:05:31.183+0800: 0.395: [Full GC (Ergonomics) [PSYoungGen: 14702K->13688K(29184K)] [ParOldGen: 87177K->87177K(87552K)] 101879K->100865K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0023363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:05:31.186+0800: 0.398: [Full GC (Ergonomics) [PSYoungGen: 14837K->14211K(29184K)] [ParOldGen: 87177K->87177K(87552K)] 102014K->101388K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0025432 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:05:31.189+0800: 0.401: [Full GC (Ergonomics) [PSYoungGen: 14681K->14427K(29184K)] [ParOldGen: 87177K->87177K(87552K)] 101858K->101604K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0024245 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:05:31.192+0800: 0.404: [Full GC (Ergonomics) [PSYoungGen: 14623K->14335K(29184K)] [ParOldGen: 87177K->87165K(87552K)] 101800K->101501K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0027679 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2020-10-28T23:05:31.195+0800: 0.407: [Full GC (Ergonomics) [PSYoungGen: 14729K->13533K(29184K)] [ParOldGen: 87165K->87546K(87552K)] 101895K->101079K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0123588 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-10-28T23:05:31.208+0800: 0.420: [Full GC (Ergonomics) [PSYoungGen: 14844K->13873K(29184K)] [ParOldGen: 87546K->87546K(87552K)] 102390K->101419K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0030367 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:05:31.212+0800: 0.424: [Full GC (Ergonomics) [PSYoungGen: 14785K->14127K(29184K)] [ParOldGen: 87546K->87546K(87552K)] 102331K->101674K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0026303 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:05:31.215+0800: 0.427: [Full GC (Ergonomics) [PSYoungGen: 14800K->14548K(29184K)] [ParOldGen: 87546K->87371K(87552K)] 102347K->101919K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0034613 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:05:31.219+0800: 0.431: [Full GC (Ergonomics) [PSYoungGen: 14692K->14620K(29184K)] [ParOldGen: 87371K->87371K(87552K)] 102063K->101991K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0022543 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:05:31.221+0800: 0.433: [Full GC (Allocation Failure) [PSYoungGen: 14620K->14620K(29184K)] [ParOldGen: 87371K->87352K(87552K)] 101991K->101972K(116736K), [Metaspace: 2544K->2544K(1056768K)], 0.0144695 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
Heap
 PSYoungGen      total 29184K, used 14848K [0x00000000fd580000, 0x0000000100000000, 0x0000000100000000)
  eden space 14848K, 100% used [0x00000000fd580000,0x00000000fe400000,0x00000000fe400000)
  from space 14336K, 0% used [0x00000000ff200000,0x00000000ff200000,0x0000000100000000)
  to   space 14336K, 0% used [0x00000000fe400000,0x00000000fe400000,0x00000000ff200000)
 ParOldGen       total 87552K, used 87352K [0x00000000f8000000, 0x00000000fd580000, 0x00000000fd580000)
  object space 87552K, 99% used [0x00000000f8000000,0x00000000fd54e240,0x00000000fd580000)
 Metaspace       used 2575K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 279K, capacity 386K, committed 512K, reserved 1048576K
